"ID","Nom_Gare","INSEE_REG","NOM_REG","INSEE_DEP","NOM_DEP","Latitude","Longitude","Type"
"TGV_39","Quimper",53,"Bretagne",29,"Finist�re",48.014,-4.094,"TGVStation"
"TGV_40","Quimperl�",53,"Bretagne",29,"Finist�re",47.884,-3.548,"TGVStation"
"TGV_41","Rosporden",53,"Bretagne",29,"Finist�re",47.989,-3.791,"TGVStation"
"TGV_42","Morlaix",53,"Bretagne",29,"Finist�re",48.579,-3.833,"TGVStation"
"TGV_43","N�mes",76,"Occitanie",30,"Gard",43.832,4.386,"TGVStation"
"TGV_44","N�mes-Pont-du-Gard",76,"Occitanie",30,"Gard",43.851,4.37,"TGVStation"
"TGV_45","Meuse TGV",76,"Occitanie",31,"Haute-Garonne",43.583,1.484,"TGVStation"
"TGV_46","Toulouse-Matabiau",76,"Occitanie",31,"Haute-Garonne",43.61,1.447,"TGVStation"
"TGV_47","Arcachon",75,"Nouvelle-Aquitaine",33,"Gironde",44.662,-1.17,"TGVStation"
"TGV_48","Bordeaux-Saint-Jean",75,"Nouvelle-Aquitaine",33,"Gironde",44.838,-0.57,"TGVStation"
"TGV_49","Facture-Biganos",75,"Nouvelle-Aquitaine",33,"Gironde",44.65,-0.956,"TGVStation"
"TGV_50","Libourne",75,"Nouvelle-Aquitaine",33,"Gironde",44.896,-0.24,"TGVStation"
"TGV_51","La Teste",75,"Nouvelle-Aquitaine",33,"Gironde",44.633,-1.133,"TGVStation"
"TGV_52","Agde",76,"Occitanie",34,"H�rault",43.318,3.483,"TGVStation"
"TGV_53","B�ziers",76,"Occitanie",34,"H�rault",43.42,3.236,"TGVStation"
"TGV_54","Montpellier-Saint-Roch",76,"Occitanie",34,"H�rault",43.603,3.89,"TGVStation"
"TGV_55","Montpellier-Sud-de-France",76,"Occitanie",34,"H�rault",43.595,3.924,"TGVStation"
"TGV_56","S�te",76,"Occitanie",34,"H�rault",43.409,3.698,"TGVStation"
"TGV_57","TGV Haute-Picardie",76,"Occitanie",34,"H�rault",43.394,3.68,"TGVStation"
"TGV_58","Dol-de-Bretagne",53,"Bretagne",35,"Ille-et-Vilaine",48.551,-1.738,"TGVStation"
"TGV_59","Plouaret-Tr�gor",53,"Bretagne",35,"Ille-et-Vilaine",48.035,-1.704,"TGVStation"
"TGV_60","Redon",53,"Bretagne",35,"Ille-et-Vilaine",47.652,-2.083,"TGVStation"
"TGV_61","Rennes",53,"Bretagne",35,"Ille-et-Vilaine",48.11,-1.684,"TGVStation"
"TGV_62","Saint-Malo",53,"Bretagne",35,"Ille-et-Vilaine",48.657,-1.974,"TGVStation"
"TGV_63","Vitr�",53,"Bretagne",35,"Ille-et-Vilaine",48.131,-1.218,"TGVStation"
"TGV_64","Lorraine TGV",24,"Centre-Val de Loire",37,"Indre-et-Loire",47.381,0.71,"TGVStation"
"TGV_65","Saint-Pierre-des-Corps",24,"Centre-Val de Loire",37,"Indre-et-Loire",47.386,0.761,"TGVStation"
"TGV_66","Tours",24,"Centre-Val de Loire",37,"Indre-et-Loire",47.402,0.696,"TGVStation"
"TGV_67","Grenoble",84,"Auvergne-Rh�ne-Alpes",38,"Is�re",45.177,5.741,"TGVStation"
"TGV_68","Mouchard",27,"Bourgogne-Franche-Comt�",39,"Jura",46.978,5.792,"TGVStation"
"TGV_69","Dax",75,"Nouvelle-Aquitaine",40,"Landes",43.709,-1.068,"TGVStation"
"TGV_70","Vend�me - Villiers-sur-Loir",24,"Centre-Val de Loire",41,"Loir-et-Cher",47.799,1.036,"TGVStation"
"TGV_71","Montauban-Ville-Bourbon",84,"Auvergne-Rh�ne-Alpes",42,"Loire",45.429,4.36,"TGVStation"
"TGV_72","Saint-�tienne-Ch�teaucreux",84,"Auvergne-Rh�ne-Alpes",42,"Loire",45.443,4.4,"TGVStation"
"TGV_73","Ancenis",52,"Pays de la Loire",44,"Loire-Atlantique",47.366,-1.184,"TGVStation"
"TGV_74","La Baule-Escoublac",52,"Pays de la Loire",44,"Loire-Atlantique",47.285,-2.371,"TGVStation"
"TGV_75","Le Croisic",52,"Pays de la Loire",44,"Loire-Atlantique",47.287,-2.51,"TGVStation"
"TGV_76","Nantes",52,"Pays de la Loire",44,"Loire-Atlantique",47.259,-1.529,"TGVStation"
"TGV_77","Pornichet",52,"Pays de la Loire",44,"Loire-Atlantique",47.252,-2.314,"TGVStation"
"TGV_78","Le Pouliguen",52,"Pays de la Loire",44,"Loire-Atlantique",47.277,-2.439,"TGVStation"
"TGV_79","Saint-Nazaire",52,"Pays de la Loire",44,"Loire-Atlantique",47.299,-2.184,"TGVStation"
"TGV_80","Agen",75,"Nouvelle-Aquitaine",47,"Lot-et-Garonne",44.206,0.618,"TGVStation"
"TGV_81","Angers-Saint-Laud",52,"Pays de la Loire",49,"Maine-et-Loire",47.473,-0.552,"TGVStation"
"TGV_82","Saumur",52,"Pays de la Loire",49,"Maine-et-Loire",47.263,-0.073,"TGVStation"
"TGV_83","Ch�lons-en-Champagne",44,"Grand Est",51,"Marne",48.956,4.362,"TGVStation"
"TGV_84","Reims",44,"Grand Est",51,"Marne",49.245,4.041,"TGVStation"
"TGV_85","Vitry-le-Fran�ois",44,"Grand Est",51,"Marne",48.73,4.597,"TGVStation"
"TGV_86","Laval",52,"Pays de la Loire",53,"Mayenne",48.077,-0.76,"TGVStation"
"TGV_87","Lun�ville",44,"Grand Est",54,"Meurthe-et-Moselle",48.585,6.483,"TGVStation"
"TGV_88","Nancy-Ville",44,"Grand Est",54,"Meurthe-et-Moselle",48.703,6.224,"TGVStation"
"TGV_89","Bar-le-Duc",44,"Grand Est",55,"Meuse",48.756,5.194,"TGVStation"
"TGV_90","Auray",53,"Bretagne",56,"Morbihan",47.663,-2.988,"TGVStation"
"TGV_91","Lorient",53,"Bretagne",56,"Morbihan",47.759,-3.384,"TGVStation"
"TGV_92","Vannes",53,"Bretagne",56,"Morbihan",47.636,-2.773,"TGVStation"
"TGV_93","Forbach",44,"Grand Est",57,"Moselle",49.18,6.895,"TGVStation"
"TGV_94","Metz-Ville",44,"Grand Est",57,"Moselle",49.101,6.155,"TGVStation"
"TGV_95","Sarrebourg",44,"Grand Est",57,"Moselle",48.735,7.052,"TGVStation"
"TGV_96","Thionville",44,"Grand Est",57,"Moselle",49.362,6.144,"TGVStation"
"TGV_97","Croix - Wasquehal",32,"Hauts-de-France",59,"Nord",50.678,3.135,"TGVStation"
"TGV_98","Douai",32,"Hauts-de-France",59,"Nord",50.39,3.09,"TGVStation"
"TGV_99","Dunkerque",32,"Hauts-de-France",59,"Nord",51.046,2.389,"TGVStation"
"TGV_100","Hazebrouck",32,"Hauts-de-France",59,"Nord",50.738,2.726,"TGVStation"
"TGV_101","Lille-Europe",32,"Hauts-de-France",59,"Nord",50.641,3.074,"TGVStation"
"TGV_102","Lille-Flandres",32,"Hauts-de-France",59,"Nord",50.628,3.056,"TGVStation"
"TGV_103","Roubaix",32,"Hauts-de-France",59,"Nord",50.701,3.17,"TGVStation"
"TGV_104","Tourcoing",32,"Hauts-de-France",59,"Nord",50.718,3.141,"TGVStation"
"TGV_105","Valenciennes",32,"Hauts-de-France",59,"Nord",50.342,3.517,"TGVStation"
"TGV_106","Boulogne-Ville",32,"Hauts-de-France",60,"Oise",49.607,2.707,"TGVStation"
"TGV_107","Arras",32,"Hauts-de-France",62,"Pas-de-Calais",50.29,2.778,"TGVStation"
"TGV_108","B�thune",32,"Hauts-de-France",62,"Pas-de-Calais",50.517,2.636,"TGVStation"
"TGV_109","Calais - Fr�thun",32,"Hauts-de-France",62,"Pas-de-Calais",50.935,1.85,"TGVStation"
"TGV_110","Calais-Ville",32,"Hauts-de-France",62,"Pas-de-Calais",50.43,3.063,"TGVStation"
"TGV_111","�taples - Le Touquet",32,"Hauts-de-France",62,"Pas-de-Calais",50.525,1.589,"TGVStation"
"TGV_112","Lens",32,"Hauts-de-France",62,"Pas-de-Calais",50.419,3.027,"TGVStation"
"TGV_113","Rang-du-Fliers - Verton",32,"Hauts-de-France",62,"Pas-de-Calais",50.414,1.619,"TGVStation"
"TGV_114","Bayonne",75,"Nouvelle-Aquitaine",64,"Pyr�n�es-Atlantiques",43.503,-1.443,"TGVStation"
